text,stars
"I really wanted to love this laptop, but it broke within a week.",1
"Absolutely fantastic build quality and the battery lasts all day!",5
"The screen flickers after the latest update.",1
"Works as described. No complaints.",4
"Terrible. Stopped charging on day two.",1
"Best purchase I've made all year.",5
"It's fine, nothing special.",3
"Great value for the price.",4
"Horrible customer service and a defective unit on arrival.",1
"Sleek design and genuinely fast performance.",5
"Decent overall, but the keyboard feels cheap.",3
"Oh sure, a 'premium' device that dies in three days. Love it.",1
